track_id,timestamp_utc,sensor_id,site_id,lat,lon,object_class,alert_type,confidence,priority,speed_kts,heading_deg,notes
TRK-UNK-7442,2026-09-13T08:53:22Z,RADAR-N2,SITE-CHARLIE,64.2988,21.2486,unknown_small,low_confidence_track,0.42,P4,19,95,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-AIR-4313,2026-09-13T09:07:07Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3457,21.3281,fixed_wing,track_entered_zone,0.96,P4,302,73,Civil flight DY615 at FL214 on airway; ADS-B valid
TRK-AIR-1898,2026-09-13T10:07:12Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3516,21.1837,fixed_wing,track_entered_zone,0.92,P4,274,191,Civil flight DY170 at FL268 on airway; ADS-B valid
TRK-AIR-1393,2026-09-13T10:26:13Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3934,21.0739,fixed_wing,track_entered_zone,0.96,P4,392,60,Civil flight FI994 at FL198 on airway; ADS-B valid
TRK-SEA-6928,2026-09-13T11:24:29Z,AIS-COASTAL,SITE-BRAVO,63.9216,22.6554,vessel,track_entered_zone,0.91,P4,9,67,Fishing vessel MMSI 263962804 transiting coastal zone; AIS consistent with declared voyage
TRK-AIR-3706,2026-09-13T11:43:10Z,RADAR-N1,SITE-CHARLIE,64.2920,21.2496,rotary_wing,scheduled_patrol,0.92,P4,120,251,Friendly patrol flight callsign HAWK39 on filed route; IFF valid
TRK-AIR-8072,2026-09-13T11:50:44Z,RADAR-N1,SITE-BRAVO,63.9395,22.6078,rotary_wing,scheduled_patrol,0.94,P4,90,91,Friendly patrol flight callsign HAWK28 on filed route; IFF valid
TRK-UNK-4771,2026-09-13T13:22:05Z,RADAR-N2,SITE-CHARLIE,64.3127,21.2379,unknown_small,low_confidence_track,0.20,P4,16,154,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-UNK-9104,2026-09-13T13:58:56Z,RADAR-N2,SITE-BRAVO,63.9939,22.5913,unknown_small,low_confidence_track,0.36,P4,20,26,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-BAL-892,2026-09-13T14:04:08Z,RADAR-N1,SITE-ALPHA,63.9488,22.0047,balloon,track_entered_zone,0.69,P4,16,201,Meteorological balloon on scheduled launch from met station
TRK-AIR-5734,2026-09-13T15:08:41Z,RADAR-N1,SITE-ALPHA,64.1412,21.9057,rotary_wing,scheduled_patrol,0.97,P4,117,59,Friendly patrol flight callsign HAWK69 on filed route; IFF valid
TRK-AIR-3872,2026-09-13T15:21:34Z,RADAR-N1,SITE-CHARLIE,64.3515,21.2093,rotary_wing,scheduled_patrol,0.96,P4,107,183,Friendly patrol flight callsign HAWK38 on filed route; IFF valid
TRK-AIR-3002,2026-09-13T15:23:56Z,RADAR-N1,SITE-ALPHA,64.1175,21.9350,rotary_wing,scheduled_patrol,0.91,P4,118,338,Friendly patrol flight callsign HAWK43 on filed route; IFF valid
TRK-UNK-8785,2026-09-13T15:58:12Z,RADAR-N2,SITE-BRAVO,63.9739,22.6000,unknown_small,low_confidence_track,0.35,P4,8,296,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-AIR-3405,2026-09-13T16:05:38Z,ADS-B-CHARLIE,SITE-CHARLIE,64.4042,21.2657,fixed_wing,track_entered_zone,0.91,P4,214,351,Civil flight SK289 at FL284 on airway; ADS-B valid
TRK-SEA-3612,2026-09-13T16:27:07Z,AIS-COASTAL,SITE-BRAVO,63.9659,22.6565,vessel,track_entered_zone,0.90,P4,6,356,Fishing vessel MMSI 295399746 transiting coastal zone; AIS consistent with declared voyage
TRK-BAL-650,2026-09-13T16:41:42Z,RADAR-N1,SITE-BRAVO,63.8079,22.7790,balloon,track_entered_zone,0.63,P4,19,21,Meteorological balloon on scheduled launch from met station
TRK-SEA-4824,2026-09-13T17:17:01Z,AIS-COASTAL,SITE-BRAVO,63.9280,22.6528,vessel,track_entered_zone,0.86,P4,8,323,Fishing vessel MMSI 240966515 transiting coastal zone; AIS consistent with declared voyage
TRK-AIR-3465,2026-09-13T17:47:44Z,RADAR-N1,SITE-CHARLIE,64.3180,21.1688,rotary_wing,scheduled_patrol,0.90,P4,114,57,Friendly patrol flight callsign HAWK72 on filed route; IFF valid
TRK-AIR-6764,2026-09-14T00:39:01Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3014,21.3215,fixed_wing,track_entered_zone,0.94,P4,197,355,Civil flight FI635 at FL234 on airway; ADS-B valid
TRK-AIR-8110,2026-09-14T02:02:33Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3917,21.2965,fixed_wing,track_entered_zone,0.92,P4,420,166,Civil flight SK349 at FL259 on airway; ADS-B valid
TRK-UAS-7731,2026-09-14T02:10:30Z,RADAR-N2,SITE-ALPHA,64.1412,21.9273,small_uas,loiter_near_perimeter,0.82,P2,12,275,Unregistered small UAS loitering 400 m from SITE-ALPHA perimeter for 9 min; no flight plan; no transponder
TRK-GND-1482,2026-09-14T02:15:17Z,PERIMETER-CAM,SITE-CHARLIE,64.3119,21.2127,vehicle,vehicle_at_gate,0.85,P3,0,0,Vehicle at main gate; plate matched authorised list (contractor)
EMT-RF-0193,2026-09-14T02:18:05Z,RF-DF-ALPHA,SITE-ALPHA,64.1431,21.9310,rf_emitter,unknown_emitter,0.74,P2,0,0,"2.4 GHz burst emitter geolocated 350 m NE of SITE-ALPHA, co-located with track TRK-UAS-7731; decoded 802.11 management frames at high rate from BSSID 3c:22:fb:9a:11:07"
TRK-AIR-1949,2026-09-14T03:28:05Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2447,21.1488,fixed_wing,track_entered_zone,0.97,P4,209,241,Civil flight SK145 at FL319 on airway; ADS-B valid
TRK-AIR-5007,2026-09-14T03:57:59Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3683,21.3425,fixed_wing,track_entered_zone,0.91,P4,316,13,Civil flight SK700 at FL238 on airway; ADS-B valid
TRK-AIR-1645,2026-09-14T05:03:55Z,RADAR-N1,SITE-BRAVO,63.9674,22.5838,rotary_wing,scheduled_patrol,0.97,P4,103,271,Friendly patrol flight callsign HAWK61 on filed route; IFF valid
TRK-AIR-3842,2026-09-14T05:05:04Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3229,21.2602,fixed_wing,track_entered_zone,0.93,P4,277,335,Civil flight DY158 at FL303 on airway; ADS-B valid
TRK-AIR-7222,2026-09-14T05:53:04Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2588,21.2013,fixed_wing,track_entered_zone,0.96,P4,412,147,Civil flight SK462 at FL204 on airway; ADS-B valid
TRK-AIR-2973,2026-09-14T06:27:12Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2936,21.2440,fixed_wing,track_entered_zone,0.91,P4,288,303,Civil flight FI303 at FL163 on airway; ADS-B valid
TRK-AIR-3855,2026-09-14T06:35:06Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3929,21.1894,fixed_wing,track_entered_zone,0.97,P4,398,274,Civil flight SK844 at FL185 on airway; ADS-B valid
TRK-UNK-3707,2026-09-14T07:03:13Z,RADAR-N2,SITE-BRAVO,63.9706,22.6367,unknown_small,low_confidence_track,0.23,P4,9,112,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-BAL-400,2026-09-14T07:03:50Z,RADAR-N1,SITE-BRAVO,63.8807,22.3755,balloon,track_entered_zone,0.74,P4,37,298,Meteorological balloon on scheduled launch from met station
TRK-GND-2711,2026-09-14T08:12:35Z,PERIMETER-CAM,SITE-BRAVO,63.9801,22.6092,vehicle,vehicle_at_gate,0.96,P3,0,0,Vehicle at main gate; plate matched authorised list (shift change)
TRK-BAL-464,2026-09-14T08:16:12Z,RADAR-N1,SITE-ALPHA,64.0277,22.2221,balloon,track_entered_zone,0.65,P4,29,322,Meteorological balloon on scheduled launch from met station
TRK-AIR-6303,2026-09-14T08:54:34Z,RADAR-N1,SITE-ALPHA,64.1744,21.9267,rotary_wing,scheduled_patrol,0.94,P4,106,10,Friendly patrol flight callsign HAWK89 on filed route; IFF valid
TRK-AIR-1777,2026-09-14T09:53:26Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3096,21.1396,fixed_wing,track_entered_zone,0.90,P4,337,125,Civil flight DY895 at FL258 on airway; ADS-B valid
TRK-SEA-5006,2026-09-14T11:15:16Z,AIS-COASTAL,SITE-BRAVO,63.9374,22.6674,vessel,track_entered_zone,0.86,P4,13,14,Fishing vessel MMSI 291626062 transiting coastal zone; AIS consistent with declared voyage
TRK-AIR-7989,2026-09-14T11:19:03Z,ADS-B-CHARLIE,SITE-CHARLIE,64.4078,21.0919,fixed_wing,track_entered_zone,0.91,P4,350,267,Civil flight DY651 at FL202 on airway; ADS-B valid
TRK-UNK-6243,2026-09-14T11:50:49Z,RADAR-N2,SITE-ALPHA,64.1598,21.9347,unknown_small,low_confidence_track,0.34,P4,9,25,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-UNK-6245,2026-09-14T12:28:21Z,RADAR-N2,SITE-CHARLIE,64.3283,21.2312,unknown_small,low_confidence_track,0.28,P4,23,179,"Erratic low-speed track, likely bird flock; dropped after 40 s"
TRK-BAL-100,2026-09-14T12:32:33Z,RADAR-N1,SITE-CHARLIE,64.3619,20.9486,balloon,track_entered_zone,0.72,P4,19,40,Meteorological balloon on scheduled launch from met station
TRK-AIR-3935,2026-09-14T13:30:57Z,RADAR-N1,SITE-CHARLIE,64.3096,21.1757,rotary_wing,scheduled_patrol,0.94,P4,110,281,Friendly patrol flight callsign HAWK85 on filed route; IFF valid
TRK-AIR-9923,2026-09-14T13:48:30Z,ADS-B-CHARLIE,SITE-CHARLIE,64.3215,21.1211,fixed_wing,track_entered_zone,0.99,P4,251,223,Civil flight SK957 at FL334 on airway; ADS-B valid
TRK-BAL-813,2026-09-14T15:10:53Z,RADAR-N1,SITE-CHARLIE,64.4741,21.2017,balloon,track_entered_zone,0.72,P4,31,160,Meteorological balloon on scheduled launch from met station
TRK-AIR-3800,2026-09-14T17:08:10Z,RADAR-N1,SITE-CHARLIE,64.2658,21.1574,rotary_wing,scheduled_patrol,0.97,P4,113,68,Friendly patrol flight callsign HAWK30 on filed route; IFF valid
TRK-AIR-8843,2026-09-14T18:29:31Z,RADAR-N1,SITE-BRAVO,63.9368,22.6239,rotary_wing,scheduled_patrol,0.93,P4,99,197,Friendly patrol flight callsign HAWK18 on filed route; IFF valid
TRK-GND-5861,2026-09-14T18:40:29Z,PERIMETER-CAM,SITE-BRAVO,63.9813,22.6034,vehicle,vehicle_at_gate,0.91,P3,0,0,Vehicle at main gate; plate matched authorised list (contractor)
TRK-AIR-8746,2026-09-14T19:04:21Z,ADS-B-CHARLIE,SITE-CHARLIE,64.2690,21.2044,fixed_wing,track_entered_zone,0.95,P4,353,143,Civil flight DY687 at FL268 on airway; ADS-B valid
TRK-GND-3421,2026-09-14T20:22:22Z,PERIMETER-CAM,SITE-ALPHA,64.1406,21.9360,vehicle,vehicle_at_gate,0.86,P3,0,0,Vehicle at main gate; plate matched authorised list (contractor)
TRK-AIR-9829,2026-09-14T22:47:20Z,RADAR-N1,SITE-ALPHA,64.1723,21.8937,rotary_wing,scheduled_patrol,0.93,P4,129,107,Friendly patrol flight callsign HAWK85 on filed route; IFF valid
