srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm
175.45.176.0,0,149.171.126.13,0,emcon,INT,2e-06,180,0,254,0,0,0,-,360000000.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.002,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
175.45.176.0,0,149.171.126.13,0,igp,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.003,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
175.45.176.0,0,149.171.126.13,0,igp,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.003,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
175.45.176.0,0,149.171.126.13,0,igp,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.003,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
175.45.176.0,0,149.171.126.13,0,egp,INT,6e-06,180,0,254,0,0,0,-,119999992.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.006,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
175.45.176.0,0,149.171.126.13,0,igp,INT,3e-06,180,0,254,0,0,0,-,239999984.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.003,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10
59.166.0.8,1686,149.171.126.3,32438,tcp,FIN,0.126835,4238,62112,31,29,7,30,-,263649.625,3864737.5,72,74,255,255,2326560758,2377922669,59,839,0,0,94.168513,93.705184,1424223159,1424223159,1.781746,1.754222,0.000643,0.000529,0.000114,0,0,,, ,10,4,3,7,1,1,1
175.45.176.2,37239,149.171.126.15,80,tcp,FIN,5.566142,3114,482584,254,252,2,185,http,4406.642578,691755.25,64,376,255,255,2449907520,1243303547,49,1283,1,233472,4387.322053,1946.498734,1424223171,1424223177,88.351463,14.691118,0.153739,0.071058,0.082681,0,1,1.0,, ,3,1,1,3,3,1,2
175.45.176.0,0,149.171.126.13,0,prm,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223171,1424223171,0.008,0.0,0.0,0.0,0.0,0,2,,, ,6,6,1,1,1,1,6
175.45.176.0,0,149.171.126.13,0,xns-idp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223172,1424223172,0.003,0.0,0.0,0.0,0.0,0,2,,, ,6,6,3,5,3,3,6
59.166.0.5,16303,149.171.126.0,80,tcp,FIN,1.013916,1684,10168,31,29,3,5,http,12340.27246,75777.47656,14,18,255,255,2989144415,840516573,120,565,1,3924,8769.614869,7682.50174,1424223178,1424223179,77.967692,59.613468,0.000603,0.000484,0.000119,0,0,1.0,, ,1,3,4,1,1,1,2
59.166.0.9,6001,149.171.126.7,80,tcp,FIN,23.441061,17434,1087900,31,29,2,370,http,5931.813477,370782.5313,326,746,255,255,2769981739,2910060003,53,1458,1,524288,4296.281178,2809.039716,1424223185,1424223208,72.125383,31.462966,0.001286,0.001141,0.000145,0,0,1.0,, ,2,1,1,1,1,1,1
175.45.176.0,0,149.171.126.13,0,idpr-cmtp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223186,1424223186,0.003,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,1,1,1,4
175.45.176.0,0,149.171.126.13,0,idpr-cmtp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223186,1424223186,0.003,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,1,1,1,4
175.45.176.0,0,149.171.126.13,0,ipv6,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223189,1424223189,0.002,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,1,1,1,4
59.166.0.3,43421,149.171.126.3,49619,tcp,FIN,0.050014,2646,26060,31,29,7,15,-,413164.3125,4073739.25,42,44,255,255,697110420,734498328,63,592,0,0,78.193064,75.599042,1424223189,1424223189,1.212219,1.150302,0.000687,0.000548,0.000139,0,0,,, ,13,5,2,6,1,1,2
175.45.176.0,0,149.171.126.13,0,ipv6,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223189,1424223189,0.002,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,1,1,1,4
175.45.176.0,0,149.171.126.13,0,ipv6,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223189,1424223189,0.002,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,1,1,1,4
175.45.176.0,0,149.171.126.13,0,gre,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223194,1424223194,0.003,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,3,2,2,7
175.45.176.0,0,149.171.126.13,0,gre,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223194,1424223194,0.003,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,3,2,2,7
59.166.0.3,33613,149.171.126.6,80,tcp,FIN,1.368001,1580,10168,31,29,3,5,http,8473.677734,56163.70313,12,18,255,255,1682144514,3832727270,132,565,1,3924,12405.99383,9988.36698,1424223197,1424223199,124.332366,80.438825,0.00067,0.000537,0.000133,0,0,1.0,, ,2,3,7,5,1,1,3
175.45.176.0,0,149.171.126.13,0,tlsp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223199,1424223199,0.008,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,2,2,2,6
175.45.176.0,0,149.171.126.13,0,tlsp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223199,1424223199,0.008,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,2,2,2,6
175.45.176.0,0,149.171.126.13,0,kryptolan,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223204,1424223204,0.009,0.0,0.0,0.0,0.0,0,2,,, ,6,6,4,13,3,3,6
175.45.176.0,0,149.171.126.13,0,kryptolan,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223204,1424223204,0.009,0.0,0.0,0.0,0.0,0,2,,, ,6,6,4,13,3,3,6
175.45.176.0,0,149.171.126.13,0,ippc,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223204,1424223204,0.003,0.0,0.0,0.0,0.0,0,2,,, ,6,6,4,13,3,3,6
175.45.176.0,0,149.171.126.13,0,wb-mon,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223211,1424223211,0.008,0.0,0.0,0.0,0.0,0,2,,, ,4,4,1,1,1,1,4
59.166.0.7,31446,149.171.126.8,80,tcp,FIN,1.005978,1684,10168,31,29,3,5,http,12437.64746,76375.42969,14,18,255,255,2946823367,2947804279,120,565,1,3924,8765.514848,7673.435039,1424223217,1424223218,77.35431,59.147882,0.000571,0.000459,0.000112,0,0,1.0,, ,2,1,5,10,1,1,5
175.45.176.0,0,149.171.126.13,0,mtp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223220,1424223220,0.008,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,11,2,2,6
149.171.126.12,47439,175.45.176.0,53,udp,INT,2e-06,264,0,60,0,0,0,dns,528000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424223222,1424223222,0.002,0.0,0.0,0.0,0.0,0,0,,, ,15,15,7,7,7,7,15
59.166.0.8,50468,149.171.126.0,29012,tcp,FIN,0.057864,2646,26060,31,29,7,15,-,357113.25,3521084.0,42,44,255,255,1949758233,1997474470,63,592,0,0,85.720325,83.817115,1424223223,1424223223,1.403683,1.333023,0.000676,0.000539,0.000137,0,0,,, ,4,1,2,4,1,1,2
149.171.126.12,1043,175.45.176.0,53,udp,INT,8e-06,264,0,60,0,0,0,dns,132000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424223225,1424223225,0.008,0.0,0.0,0.0,0.0,0,0,,, ,21,21,13,13,13,5,21
175.45.176.0,0,149.171.126.13,0,pnni,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223226,1424223226,0.008,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,11,2,2,3
59.166.0.4,19237,149.171.126.1,19390,tcp,FIN,0.035886,3614,47722,31,29,7,24,-,792286.6875,10467146.0,60,62,255,255,2740174416,2740466079,60,770,0,0,34.402026,34.546464,1424223228,1424223228,0.602695,0.578279,0.000751,0.000602,0.000149,0,0,,, ,4,5,1,2,1,1,1
175.45.176.0,0,149.171.126.13,0,qnx,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223228,1424223228,0.003,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,12,2,2,5
175.45.176.0,0,149.171.126.13,0,zero,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223233,1424223233,0.008,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,2,2,2,3
175.45.176.0,0,149.171.126.13,0,zero,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223233,1424223233,0.008,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,2,2,2,3
175.45.176.0,0,149.171.126.13,0,stp,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223235,1424223235,0.002,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,8,2,2,5
175.45.176.0,0,149.171.126.13,0,stp,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223235,1424223235,0.002,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,8,2,2,5
175.45.176.0,0,149.171.126.13,0,smp,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223237,1424223237,0.005,0.0,0.0,0.0,0.0,0,2,,, ,5,5,1,6,1,1,5
175.45.176.0,0,149.171.126.13,0,ptp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223238,1424223238,0.003,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,11,2,2,4
175.45.176.0,0,149.171.126.13,0,crudp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223240,1424223240,0.003,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,2,2,2,4
59.166.0.9,37994,149.171.126.7,111,udp,CON,0.004671,568,312,31,29,0,0,-,729608.25,400770.7188,4,4,0,0,0,0,142,78,0,0,1.760696,1.484925,1424223242,1424223242,1.249,1.056,0.0,0.0,0.0,0,0,,, ,5,4,3,3,2,1,3
59.166.0.9,61055,149.171.126.4,12409,tcp,FIN,0.059981,8928,424,31,29,4,1,ftp-data,1105816.875,49482.33594,14,8,255,255,1904860467,98162706,638,53,0,0,498.762677,21.981941,1424223245,1424223245,4.613923,9.8935,0.000641,0.000496,0.000145,0,0,,, ,1,1,1,1,1,1,1
175.45.176.0,0,149.171.126.13,0,rsvp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223245,1424223245,0.009,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,5,1,1,5
175.45.176.0,0,149.171.126.13,0,rsvp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223245,1424223245,0.009,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,5,1,1,5
175.45.176.0,0,149.171.126.13,0,unas,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223246,1424223246,0.006,0.0,0.0,0.0,0.0,0,2,,, ,2,2,2,11,2,2,2
59.166.0.5,35641,149.171.126.3,11942,tcp,FIN,0.057612,2646,26060,31,29,7,15,-,358675.2813,3536485.5,42,44,255,255,1677373705,3856232472,63,592,0,0,0.0,78.978992,1424223247,1424223247,1.397878,1.327767,0.000697,0.000516,0.000181,0,0,,, ,7,3,4,5,1,1,2
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223248,1424223248,0.009,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,9,2,2,5
175.45.176.1,20121,149.171.126.12,8102,tcp,FIN,0.964615,490,354,254,252,2,1,-,3657.417725,2570.973877,10,8,255,255,4066159036,2481281086,49,44,0,0,6548.810739,191.484938,1424223248,1424223249,100.966778,127.051289,0.113751,0.075251,0.0385,0,1,,, ,2,1,9,3,1,1,1
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223248,1424223248,0.009,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,9,2,2,5
175.45.176.1,4596,149.171.126.18,80,tcp,FIN,0.928794,1302,268,254,252,2,1,http,10094.81055,1929.383667,10,6,255,255,1102451960,1730706679,130,45,1,0,5106.424147,254.466859,1424223250,1424223251,96.318667,157.907406,0.239367,0.139249,0.100118,0,1,1.0,, ,1,1,1,1,1,1,1
10.40.170.2,0,10.40.170.2,0,arp,INT,0.0,46,0,0,0,0,0,-,0.0,0.0,1,0,0,0,0,0,46,0,0,0,0.0,0.0,1424223251,1424223251,60000.788,0.0,0.0,0.0,0.0,1,2,,, ,1,1,1,1,1,1,1
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223252,1424223252,0.008,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,2,2,2,5
175.45.176.0,0,149.171.126.13,0,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223252,1424223252,0.003,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,2,2,2,5
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223254,1424223254,0.008,0.0,0.0,0.0,0.0,0,2,,, ,5,5,3,11,2,2,5
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223254,1424223254,0.008,0.0,0.0,0.0,0.0,0,2,,, ,5,5,3,11,2,2,5
59.166.0.9,42363,149.171.126.2,48555,tcp,FIN,0.035314,4342,62008,31,29,7,30,-,970493.25,13852183.0,74,72,255,255,1522406191,3689652241,59,861,0,0,0.0,0.693399,1424223254,1424223254,0.478575,0.490197,0.000631,0.000507,0.000124,0,0,,, ,4,2,2,3,1,1,1
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223254,1424223254,0.008,0.0,0.0,0.0,0.0,0,2,,, ,5,5,3,11,2,2,5
175.45.176.0,0,149.171.126.13,0,unas,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223257,1424223257,0.005,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,1,1,1,5
175.45.176.0,0,149.171.126.13,0,unas,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223257,1424223257,0.005,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,1,1,1,5
175.45.176.0,0,149.171.126.13,0,unas,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223257,1424223257,0.005,0.0,0.0,0.0,0.0,0,2,,, ,5,5,2,1,1,1,5
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223258,1424223258,0.008,0.0,0.0,0.0,0.0,0,2,,, ,5,5,3,3,3,3,5
175.45.176.0,14404,149.171.126.14,69,udp,INT,5e-06,92,0,254,0,0,0,-,73600000.0,0.0,2,0,0,0,0,0,46,0,0,0,0.0,0.0,1424223259,1424223259,0.005,0.0,0.0,0.0,0.0,0,2,,, ,1,1,1,19,1,1,1
175.45.176.0,0,149.171.126.13,0,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223270,1424223270,0.003,0.0,0.0,0.0,0.0,0,2,,, ,5,5,4,21,3,3,6
175.45.176.0,0,149.171.126.13,0,unas,INT,6e-06,200,0,254,0,0,0,-,133333328.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223272,1424223272,0.006,0.0,0.0,0.0,0.0,0,2,,, ,9,9,3,12,3,3,10
175.45.176.0,0,149.171.126.13,0,unas,INT,4e-06,200,0,254,0,0,0,-,200000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223273,1424223273,0.004,0.0,0.0,0.0,0.0,0,2,,, ,9,9,3,9,3,3,10
59.166.0.5,5571,149.171.126.2,53,udp,CON,0.001072,146,178,31,29,0,0,dns,544776.125,664179.125,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223273,1424223273,0.008,0.007,0.0,0.0,0.0,0,0,,, ,1,1,2,1,1,1,2
175.45.176.0,0,149.171.126.13,0,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223274,1424223274,0.003,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,11,2,2,3
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223277,1424223277,0.008,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,11,2,2,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223277,1424223277,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,11,2,2,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223279,1424223279,0.009,0.0,0.0,0.0,0.0,0,2,,, ,8,8,5,13,4,4,8
175.45.176.1,46974,149.171.126.13,80,tcp,FIN,0.328449,1296,268,254,252,2,1,http,28424.50391,5455.945801,10,6,255,255,1738862795,734401623,130,45,1,0,1681.684053,78.133281,1424223279,1424223279,34.029222,56.455,0.095843,0.046171,0.049672,0,1,1.0,, ,1,1,5,1,1,1,1
149.171.126.12,1043,175.45.176.0,53,udp,INT,4e-06,264,0,60,0,0,0,dns,264000000.0,0.0,2,0,0,0,0,0,132,0,0,0,0.0,0.0,1424223280,1424223280,0.004,0.0,0.0,0.0,0.0,0,0,,, ,15,15,8,8,8,8,15
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223281,1424223281,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,3,3,3,3,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223282,1424223282,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,4,21,4,4,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223282,1424223282,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,4,21,4,4,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223283,1424223283,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,11,2,2,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223283,1424223283,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,2,11,2,2,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223284,1424223284,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,3,12,3,3,7
175.45.176.0,0,149.171.126.13,0,unas,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223288,1424223288,0.008,0.0,0.0,0.0,0.0,0,2,,, ,9,9,4,13,4,4,9
175.45.176.0,0,149.171.126.13,0,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223289,1424223289,0.003,0.0,0.0,0.0,0.0,0,2,,, ,7,7,4,6,3,3,7
175.45.176.0,0,149.171.126.13,0,unas,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223289,1424223289,0.003,0.0,0.0,0.0,0.0,0,2,,, ,7,7,4,6,3,3,7
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223294,1424223294,0.009,0.0,0.0,0.0,0.0,0,2,,, ,6,6,3,11,3,3,6
175.45.176.0,0,149.171.126.13,0,unas,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223294,1424223294,0.009,0.0,0.0,0.0,0.0,0,2,,, ,6,6,3,11,3,3,6
