srcip,sport,dstip,dsport,proto,state,dur,sbytes,dbytes,sttl,dttl,sloss,dloss,service,Sload,Dload,Spkts,Dpkts,swin,dwin,stcpb,dtcpb,smeansz,dmeansz,trans_depth,res_bdy_len,Sjit,Djit,Stime,Ltime,Sintpkt,Dintpkt,tcprtt,synack,ackdat,is_sm_ips_ports,ct_state_ttl,ct_flw_http_mthd,is_ftp_login,ct_ftp_cmd,ct_srv_src,ct_srv_dst,ct_dst_ltm,ct_src_ltm,ct_src_dport_ltm,ct_dst_sport_ltm,ct_dst_src_ltm,attack_cat,label
59.166.0.6,12289,149.171.126.7,53626,udp,CON,0.001586,536,304,31,29,0,0,-,2027742.75,1150063.125,4,4,0,0,0,0,134,76,0,0,0.576999,0.269407,1424223136,1424223136,0.411,0.193,0.0,0.0,0.0,0,0,,, ,7,3,4,4,1,1,3,,0
59.166.0.1,20865,149.171.126.0,53,udp,CON,0.00105,146,178,31,29,0,0,dns,556190.5,678095.25,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223138,1424223138,0.008,0.007,0.0,0.0,0.0,0,0,,, ,4,3,5,3,2,2,3,,0
59.166.0.2,22793,149.171.126.2,19611,tcp,FIN,0.135939,4238,63618,31,29,7,30,-,245992.6875,3693362.5,72,74,255,255,401887904,2575144805,59,860,0,0,99.816566,97.842278,1424223138,1424223138,1.937486,1.854206,0.000704,0.000579,0.000125,0,0,,, ,7,7,3,2,1,1,2,,0
59.166.0.4,7834,149.171.126.0,25,tcp,FIN,0.122907,37502,3380,31,29,18,8,smtp,2394070.25,214796.5625,52,42,255,255,1181882453,3332428770,721,80,0,0,342.256759,11.465154,1424223139,1424223139,2.4513,2.985488,0.000622,0.000499,0.000123,0,0,,, ,1,1,3,3,1,1,1,,0
59.166.0.5,36329,149.171.126.3,53,udp,CON,0.001077,130,162,31,29,0,0,dns,482822.625,601671.25,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223140,1424223140,0.001,0.007,0.0,0.0,0.0,0,0,,, ,3,1,2,8,1,1,1,,0
59.166.0.5,65416,149.171.126.4,12409,tcp,FIN,0.004526,8928,320,31,29,4,1,ftp-data,14654883.0,471939.9063,14,6,255,255,1541885535,3701484893,638,53,0,0,17.447041,1.290825,1424223140,1424223140,0.348154,0.792,0.000559,0.000448,0.000111,0,0,,, ,3,3,6,8,1,1,7,,0
59.166.0.9,2123,149.171.126.0,52264,tcp,FIN,0.059957,2646,26060,31,29,7,15,-,344647.0,3398168.5,42,44,255,255,4231463433,2178468519,63,592,0,0,86.916621,85.096737,1424223141,1424223141,1.454854,1.382186,0.000642,0.00052,0.000122,0,0,,, ,9,8,4,5,1,1,4,,0
59.166.0.8,40835,149.171.126.5,5190,tcp,FIN,0.049257,1168,2364,31,29,4,4,-,176218.6094,356659.9688,14,14,255,255,3643975678,3644268408,83,169,0,0,296.541225,8.442039,1424223143,1424223143,3.763154,3.745154,0.000687,0.000561,0.000126,0,0,,, ,2,5,3,2,1,1,2,,0
59.166.0.9,49022,149.171.126.8,53,udp,CON,0.001369,146,178,31,29,0,0,dns,426588.7813,520087.6875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223146,1424223146,0.008,0.002,0.0,0.0,0.0,0,0,,, ,5,1,1,4,2,1,1,,0
175.45.176.0,0,149.171.126.13,0,egp,INT,6e-06,180,0,254,0,0,0,-,119999992.0,0.0,2,0,0,0,0,0,90,0,0,0,0.0,0.0,1424223147,1424223147,0.006,0.0,0.0,0.0,0.0,0,2,,, ,10,10,10,10,10,10,10,DoS,1
59.166.0.2,30757,149.171.126.4,80,tcp,FIN,1.012799,1684,10168,31,29,3,5,http,12353.88281,75861.05469,14,18,255,255,2046915103,4197464442,120,565,1,3924,8766.578697,7675.537066,1424223148,1424223149,77.880536,59.544647,0.000694,0.000535,0.000159,0,0,1.0,, ,1,1,4,3,1,1,2,,0
59.166.0.8,15383,149.171.126.4,34871,tcp,FIN,0.069915,4238,62112,31,29,7,30,-,478295.0938,7011142.5,72,74,255,255,2649011596,537497741,59,839,0,0,60.347583,57.601643,1424223149,1424223149,0.980408,0.950534,0.000649,0.000525,0.000124,0,0,,, ,6,5,4,4,1,1,3,,0
59.166.0.5,45615,149.171.126.2,53,udp,CON,0.001122,146,178,31,29,0,0,dns,520499.0938,634581.0625,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223150,1424223150,0.009,0.002,0.0,0.0,0.0,0,0,,, ,3,2,2,1,1,1,1,,0
59.166.0.0,33761,149.171.126.4,5190,tcp,FIN,0.004075,1064,2260,31,29,4,4,-,1916073.625,4067730.0,12,12,255,255,1171945154,1172193470,89,188,0,0,16.868155,0.385469,1424223153,1424223153,0.336273,0.318,0.000712,0.000572,0.00014,0,0,,, ,7,11,4,3,1,1,1,,0
59.166.0.6,9345,149.171.126.5,5190,tcp,FIN,0.003926,1064,2260,31,29,4,4,-,1988792.625,4222109.0,12,12,255,255,1471944385,3621799560,89,188,0,0,16.441406,0.371023,1424223154,1424223154,0.325545,0.305818,0.000691,0.000554,0.000137,0,0,,, ,4,5,4,2,1,1,1,,0
59.166.0.0,41051,149.171.126.2,6358,tcp,FIN,0.173892,3390,44134,31,29,7,22,-,153198.5313,1995445.375,56,58,255,255,3557332936,3557626292,61,761,0,0,189.915637,184.011333,1424223154,1424223154,3.156,3.039649,0.000769,0.000627,0.000142,0,0,,, ,7,4,1,2,1,1,1,,0
59.166.0.1,20552,149.171.126.6,22005,tcp,FIN,0.069297,3494,44030,31,29,7,22,-,396438.5,4992308.5,58,56,255,255,1891943747,1892807932,60,786,0,0,91.362831,2.490044,1424223155,1424223155,1.209737,1.250218,0.000666,0.000534,0.000132,0,0,,, ,6,7,3,4,1,1,1,,0
59.166.0.1,22014,149.171.126.8,1778,tcp,FIN,0.038175,2750,25956,31,29,7,15,-,563300.5625,5309862.0,44,42,255,255,4041527282,1934455796,63,618,0,0,67.824726,66.267301,1424223155,1424223155,0.923488,0.918049,0.000654,0.000532,0.000122,0,0,,, ,6,6,4,4,1,1,3,,0
59.166.0.7,31881,149.171.126.4,80,tcp,FIN,1.007773,1684,10168,31,29,3,5,http,12415.49414,76239.39063,14,18,255,255,2011952592,4158400862,120,565,1,3924,8766.101473,7675.677361,1424223155,1424223156,77.495156,59.235765,0.000876,0.000762,0.000114,0,0,1.0,, ,2,2,2,2,2,1,1,,0
175.45.176.3,28246,149.171.126.19,179,tcp,FIN,0.252985,534,268,254,252,2,1,-,15210.3877,7083.423828,10,6,255,255,2593332022,3301089839,53,45,0,0,1368.412353,59.024316,1424223157,1424223157,25.838333,38.766,0.09222,0.059147,0.033073,0,1,,, ,13,12,3,3,3,1,12,,0
59.166.0.4,19778,149.171.126.9,17987,tcp,FIN,0.103952,4238,62112,31,29,7,30,-,321686.9375,4715484.0,72,74,255,255,1844463387,1868751301,59,839,0,0,86.982706,83.797133,1424223158,1424223158,1.480486,1.416753,0.0009,0.000526,0.000374,0,0,,, ,10,4,2,5,1,1,1,,0
59.166.0.8,63314,149.171.126.4,25,tcp,FIN,0.494617,37232,3380,31,29,18,8,smtp,590614.5625,53374.63281,52,42,255,255,3934045348,3931009582,716,80,0,0,777.094814,25.689805,1424223158,1424223159,9.691471,12.050122,0.000684,0.000558,0.000126,0,0,,, ,1,2,3,7,1,1,3,,0
59.166.0.9,43345,149.171.126.5,143,tcp,FIN,0.785456,7812,15048,31,29,30,32,-,78914.67188,152054.3438,122,126,255,255,116985370,117953828,64,119,0,0,409.194406,413.54973,1424223159,1424223160,6.488603,6.381894,0.000603,0.00048,0.000123,0,0,,, ,9,9,5,3,1,1,1,,0
59.166.0.6,5391,149.171.126.2,1497,tcp,FIN,0.036667,3390,44134,31,29,7,22,-,726538.8125,9463332.0,56,58,255,255,356976926,357875687,61,761,0,0,41.126316,37.750226,1424223159,1424223159,0.672667,0.643232,0.000803,0.000638,0.000165,0,0,,, ,10,6,2,2,1,1,1,,0
175.45.176.3,55533,149.171.126.19,179,tcp,FIN,0.409799,534,268,254,252,2,1,-,9389.96875,4372.875488,10,6,255,255,3125701243,517084111,53,45,0,0,2296.881782,104.969148,1424223159,1424223159,43.028556,69.499602,0.124613,0.062298,0.062315,0,1,,, ,8,8,2,2,2,1,8,,0
59.166.0.0,41782,149.171.126.8,80,tcp,FIN,1.019799,1684,10168,31,29,3,5,http,12269.08398,75340.33594,14,18,255,255,536979729,2687549399,120,565,1,3924,8767.328534,7675.570275,1424223160,1424223161,78.419849,59.954176,0.000716,0.000575,0.000141,0,0,1.0,, ,2,2,3,4,1,1,1,,0
59.166.0.2,4032,149.171.126.0,6881,tcp,FIN,6.312591,24848,1094788,31,29,38,390,-,31419.11133,1385818.25,442,858,255,255,3414887004,3426787042,56,1276,0,0,6041.92992,4338.591042,1424223164,1424223171,14.31356,7.365318,0.000631,0.00051,0.000121,0,0,,, ,7,10,2,1,1,1,6,,0
59.166.0.5,6223,149.171.126.5,80,tcp,FIN,1.182043,1684,10168,31,29,3,5,http,10585.06348,64999.32813,14,18,255,255,1449497150,3600649208,120,565,1,3924,8840.106127,7740.084528,1424223165,1424223166,90.899618,69.505118,0.000707,0.000453,0.000254,0,0,1.0,, ,2,2,1,3,2,1,1,,0
59.166.0.3,2869,149.171.126.4,12409,tcp,FIN,0.223915,8928,320,31,29,4,1,ftp-data,296219.5625,9539.333984,14,6,255,255,22021667,2476028510,638,53,0,0,1463.684146,62.148797,1424223166,1424223167,17.224231,44.653199,0.000667,0.000528,0.000139,0,0,,, ,1,1,1,3,1,1,1,,0
59.166.0.0,32638,149.171.126.4,60877,udp,CON,0.002448,536,304,31,29,0,0,-,1313725.5,745098.0625,4,4,0,0,0,0,134,76,0,0,0.553429,0.687309,1424223166,1424223166,0.395333,0.489,0.0,0.0,0.0,0,0,,, ,4,8,5,4,1,1,4,,0
59.166.0.0,60519,149.171.126.5,6881,tcp,FIN,10.359013,21212,897208,31,29,32,320,-,16338.23633,691909.9375,376,706,255,255,2951600872,2979200088,56,1271,0,0,9955.12575,7251.120099,1424223167,1424223178,27.697072,14.692064,0.00128,0.001099,0.000181,0,0,,, ,6,9,3,7,1,1,6,,0
175.45.176.2,8556,149.171.126.11,80,tcp,FIN,0.856712,598,268,254,252,2,1,http,5033.196777,2091.718262,10,6,255,255,575988056,3367011297,60,45,1,0,4748.281315,237.634969,1424223168,1424223169,95.159,152.064,0.18495,0.096384,0.088566,0,1,1.0,, ,7,5,1,1,1,1,5,,0
59.166.0.1,26761,149.171.126.2,21,tcp,FIN,0.025246,2934,3742,31,29,11,15,ftp,911986.0625,1163907.125,52,54,255,255,34529808,35471820,56,69,0,0,37.10132,0.87569,1424223169,1424223169,0.529447,0.466321,0.000651,0.000527,0.000124,0,0,,1.0,1,1,1,8,6,1,1,6,,0
59.166.0.9,45551,149.171.126.6,7812,tcp,FIN,0.032296,3390,44134,31,29,7,22,-,824870.0,10744118.0,56,58,255,255,2719912391,574804517,61,761,0,0,37.107575,36.454696,1424223170,1424223170,0.580545,0.567411,0.000627,0.000514,0.000113,0,0,,, ,2,7,5,3,1,1,2,,0
175.45.176.2,37239,149.171.126.15,80,tcp,FIN,5.566142,3114,482584,254,252,2,185,http,4406.642578,691755.25,64,376,255,255,2449907520,1243303547,49,1283,1,233472,4387.322053,1946.498734,1424223171,1424223177,88.351463,14.691118,0.153739,0.071058,0.082681,0,1,1.0,, ,3,1,1,3,3,1,2,Worms,1
59.166.0.2,18957,149.171.126.5,21,tcp,FIN,0.04417,2934,3742,31,29,11,15,ftp,521258.7813,665247.9375,52,54,255,255,887047139,888200490,56,69,0,0,89.901271,2.488859,1424223174,1424223175,0.87714,0.823981,0.000614,0.000496,0.000118,0,0,,1.0,1,1,1,4,4,1,1,2,,0
59.166.0.6,58303,149.171.126.9,36284,udp,CON,0.001746,536,304,31,29,0,0,-,1841924.375,1044673.5,4,4,0,0,0,0,134,76,0,0,0.619897,0.313014,1424223175,1424223175,0.441333,0.227333,0.0,0.0,0.0,0,0,,, ,13,6,6,6,1,1,6,,0
59.166.0.6,51453,149.171.126.9,28431,tcp,FIN,0.009026,4224,2456,31,29,7,7,-,3536450.25,2056281.75,18,18,255,255,1127051054,3279768970,235,136,0,0,26.614091,0.724782,1424223175,1424223175,0.512706,0.502882,0.000578,0.000474,0.000104,0,0,,, ,13,6,6,6,1,1,6,,0
59.166.0.1,5923,149.171.126.0,111,udp,CON,0.396243,568,312,31,29,0,0,-,8600.783203,4724.373535,4,4,0,0,0,0,142,78,0,0,139.529375,167.759203,1424223178,1424223178,98.670664,118.629664,0.0,0.0,0.0,0,0,,, ,10,7,1,2,1,1,1,,0
59.166.0.8,1809,149.171.126.0,54083,tcp,FIN,0.083831,4238,62112,31,29,7,30,-,398897.7813,5847288.0,72,74,255,255,1499562177,1542536564,59,839,0,0,74.12279,72.684329,1424223179,1424223179,1.176254,1.135603,0.001074,0.000929,0.000145,0,0,,, ,4,7,4,3,1,1,2,,0
59.166.0.6,57197,149.171.126.1,27446,tcp,FIN,0.054607,2646,26060,31,29,7,15,-,378413.0313,3731096.75,42,44,255,255,3464949057,3481423741,63,592,0,0,82.742236,76.298975,1424223179,1424223179,1.391564,1.257674,0.00064,0.000524,0.000116,0,0,,, ,4,6,2,2,1,1,2,,0
59.166.0.4,20522,149.171.126.9,25,tcp,FIN,0.107687,37168,3380,31,29,18,8,smtp,2708145.0,245154.9531,52,42,255,255,4244949412,2100579711,715,80,0,0,231.34077,7.867601,1424223180,1424223180,2.190878,2.615073,0.000576,0.000464,0.000112,0,0,,, ,2,1,1,3,2,1,2,,0
59.166.0.7,61043,149.171.126.0,58847,tcp,FIN,0.045891,4238,62112,31,29,7,30,-,728683.125,10681484.0,72,74,255,255,3357465593,3383553680,59,839,0,0,39.609092,38.1679,1424223182,1424223182,0.642042,0.621438,0.00065,0.000523,0.000127,0,0,,, ,5,7,2,4,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,sdrp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223190,1424223190,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,1,1,1,1,7,Backdoor,1
59.166.0.2,26735,149.171.126.4,23950,tcp,FIN,0.050647,3390,44134,31,29,7,22,-,525993.625,6851185.5,56,58,255,255,3562494867,1417403675,61,761,0,0,60.190228,57.339661,1424223190,1424223190,0.931667,0.878333,0.000715,0.000574,0.000141,0,0,,, ,3,14,5,4,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,sdrp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223190,1424223190,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,1,1,1,1,7,Analysis,1
175.45.176.0,0,149.171.126.13,0,sdrp,INT,9e-06,200,0,254,0,0,0,-,88888888.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223190,1424223190,0.009,0.0,0.0,0.0,0.0,0,2,,, ,7,7,1,1,1,1,7,Fuzzers,1
175.45.176.0,0,149.171.126.13,0,idrp,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223192,1424223192,0.003,0.0,0.0,0.0,0.0,0,2,,, ,7,7,1,1,1,1,7,Analysis,1
175.45.176.0,0,149.171.126.13,0,rsvp,INT,2e-06,200,0,254,0,0,0,-,400000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223193,1424223193,0.002,0.0,0.0,0.0,0.0,0,2,,, ,7,7,1,1,1,1,7,Analysis,1
59.166.0.6,63381,149.171.126.9,17539,tcp,FIN,0.013817,2646,26060,31,29,7,15,-,1495549.0,14745893.0,42,44,255,255,182142373,2344629539,63,592,0,0,0.0,17.708791,1424223195,1424223195,0.329268,0.308163,0.00071,0.000564,0.000146,0,0,,, ,7,5,3,6,1,1,1,,0
59.166.0.8,39305,149.171.126.1,53,udp,CON,0.001119,146,178,31,29,0,0,dns,521894.5313,636282.375,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223196,1424223196,0.008,0.006,0.0,0.0,0.0,0,0,,, ,1,7,6,4,1,1,2,,0
59.166.0.5,19827,149.171.126.2,80,tcp,FIN,1.156567,18786,1087890,31,29,2,370,http,129576.5859,7514875.0,352,746,255,255,3407529739,3412729935,53,1458,1,524288,198.987689,118.860804,1424223197,1424223198,3.294125,1.551383,0.000901,0.000783,0.000118,0,0,1.0,, ,1,4,2,4,1,1,1,,0
175.45.176.0,0,149.171.126.13,0,ippc,INT,3e-06,200,0,254,0,0,0,-,266666656.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223204,1424223204,0.003,0.0,0.0,0.0,0.0,0,2,,, ,6,6,4,13,3,3,6,Analysis,1
175.45.176.0,0,149.171.126.13,0,cpnx,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223207,1424223207,0.008,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,10,2,2,7,Backdoor,1
175.45.176.0,0,149.171.126.13,0,cpnx,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223207,1424223207,0.008,0.0,0.0,0.0,0.0,0,2,,, ,6,6,2,10,2,2,7,DoS,1
175.45.176.0,0,149.171.126.13,0,sun-nd,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223210,1424223210,0.008,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,10,2,2,4,Analysis,1
175.45.176.0,0,149.171.126.13,0,br-sat-mon,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223210,1424223210,0.008,0.0,0.0,0.0,0.0,0,2,,, ,4,4,2,10,2,2,4,Backdoor,1
175.45.176.0,0,149.171.126.13,0,wb-expak,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223212,1424223212,0.005,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,19,2,2,4,Analysis,1
175.45.176.0,0,149.171.126.13,0,wb-expak,INT,5e-06,200,0,254,0,0,0,-,160000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223212,1424223212,0.005,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,19,2,2,4,Reconnaissance,1
59.166.0.2,1774,149.171.126.9,18613,tcp,FIN,0.004723,3992,2456,31,29,7,7,-,6387466.0,3929705.75,18,18,255,255,244730197,2397543713,222,136,0,0,12.865906,0.324843,1424223213,1424223213,0.259824,0.244941,0.000683,0.000555,0.000128,0,0,,, ,6,5,5,7,1,1,5,,0
175.45.176.0,0,149.171.126.13,0,vmtp,INT,8e-06,200,0,254,0,0,0,-,100000000.0,0.0,2,0,0,0,0,0,100,0,0,0,0.0,0.0,1424223213,1424223213,0.008,0.0,0.0,0.0,0.0,0,2,,, ,3,3,2,2,1,1,4,Analysis,1
59.166.0.6,57269,149.171.126.4,80,tcp,FIN,2.075473,16498,1087890,31,29,2,370,http,63387.95703,4187698.75,308,746,255,255,1804725627,1805770052,54,1458,1,524288,329.395908,184.819842,1424223215,1424223217,6.781497,2.785162,0.000661,0.000522,0.000139,0,0,1.0,, ,2,1,3,1,1,1,1,,0
59.166.0.3,35070,149.171.126.6,80,tcp,FIN,1.217833,1684,10168,31,29,3,5,http,10273.98633,63089.10938,14,18,255,255,3410112144,1286117198,120,565,1,3924,8857.766752,7756.028451,1424223215,1424223216,93.652385,71.587,0.000965,0.000851,0.000114,0,0,1.0,, ,2,2,3,1,1,1,1,,0
59.166.0.9,45798,149.171.126.5,53,udp,CON,0.001058,146,178,31,29,0,0,dns,551984.875,672967.875,2,2,0,0,0,0,73,89,0,0,0.0,0.0,1424223216,1424223216,0.008,0.002,0.0,0.0,0.0,0,0,,, ,1,4,4,1,1,1,1,,0
59.166.0.5,1024,149.171.126.5,53,udp,CON,0.001112,130,162,31,29,0,0,dns,467625.9063,582733.8125,2,2,0,0,0,0,65,81,0,0,0.0,0.0,1424223217,1424223217,0.009,0.007,0.0,0.0,0.0,0,0,,, ,2,3,2,2,1,1,2,,0
